"","x"
"1","abpA"
"2","acrR"
"3","aldA"
"4","ampG"
"5","argH"
"6","clpS"
"7","cydC"
"8","cyoA"
"9","dcyD"
"10","deaD"
"11","dicA"
"12","dld"
"13","dnaG"
"14","dnaK"
"15","dppB"
"16","efeU"
"17","elaB"
"18","fabH"
"19","ffh"
"20","fhuA"
"21","fhuF"
"22","fliC"
"23","fliD"
"24","ftnB"
"25","gadX"
"26","gatY"
"27","glf"
"28","gltB"
"29","gltT"
"30","gltW"
"31","gph"
"32","gpr"
"33","gpsA"
"34","gyrA"
"35","hprS"
"36","idi"
"37","insI1"
"38","insI2"
"39","insI3"
"40","intA"
"41","ispE"
"42","katG"
"43","ldtE"
"44","loiP"
"45","lolC"
"46","lptD"
"47","lrhA"
"48","metA"
"49","mmuM"
"50","mnmG"
"51","mntH"
"52","mrdA"
"53","murD"
"54","mutY"
"55","nadK"
"56","nanX"
"57","nanY"
"58","nrdA"
"59","ompC"
"60","ompT"
"61","pfkA"
"62","phoA"
"63","plsY"
"64","pncB"
"65","potA"
"66","ppdC"
"67","preT"
"68","priB"
"69","prmA"
"70","pssA"
"71","radA"
"72","rbn"
"73","rbsB"
"74","rdcA"
"75","rfbA"
"76","rfbX"
"77","ribA"
"78","rlmE"
"79","rnpB"
"80","rpe"
"81","rrlB"
"82","rrlD"
"83","rrlE"
"84","rrlG"
"85","rrsA"
"86","rrsB"
"87","rrsC"
"88","rrsG"
"89","rsmJ"
"90","source"
"91","srlD"
"92","ssrA"
"93","sthA"
"94","tamA"
"95","tar"
"96","tolC"
"97","waaG"
"98","waaL"
"99","waaO"
"100","waaY"
"101","wbbH"
"102","wbbI"
"103","wbbK"
"104","wzzB"
"105","yagK"
"106","yajR"
"107","ybcM"
"108","ycjD"
"109","ycjG"
"110","ydhQ"
"111","ydhS"
"112","ydiH"
"113","yeeZ"
"114","yfcA"
"115","yfdY"
"116","yfeS"
"117","yffS"
"118","yfgM"
"119","yfiF"
"120","yfjW"
"121","ygiQ"
"122","ygiS"
"123","yhdP"
"124","yhdZ"
"125","yhjE"
"126","yigI"
"127","yjgX"
"128","ynaE"
"129","ynfD"
"130","yohC"
"131","yqiA"
"132","ytjA"
"133","zapA"
"134","zntR"
"135","zupT"
